numericId,alphaId,symbol,offline
287,ALPHA_287,"ZKWASM",false
285,ALPHA_285,"TA",false
281,ALPHA_281,"TAKER",false
279,ALPHA_279,"ORDER",false
278,ALPHA_278,"RION",false
277,ALPHA_277,"TAC",false
274,ALPHA_274,"SPA",false
273,ALPHA_273,"PEAQ",false
270,ALPHA_270,"TALE",false
271,ALPHA_271,"SUNDOG",false
272,ALPHA_272,"PePe",false
268,ALPHA_268,"NFT",false
265,ALPHA_265,"RCADE",false
266,ALPHA_266,"TANSSI",false
264,ALPHA_264,"OIK",false
263,ALPHA_263,"BOOM",false
262,ALPHA_262,"PAL",false
261,ALPHA_261,"MPLX",false
260,ALPHA_260,"AIN",false
257,ALPHA_257,"M",false
255,ALPHA_255,"ECHO",false
254,ALPHA_254,"EGL1",false
253,ALPHA_253,"BGSC",false
252,ALPHA_252,"NODE",false
251,ALPHA_251,"FUEL",false
250,ALPHA_250,"REKT",false
249,ALPHA_249,"CESS",false
246,ALPHA_246,"XO",false
243,ALPHA_243,"DMC",false
242,ALPHA_242,"MGO",false
241,ALPHA_241,"CARV",false
240,ALPHA_240,"BULLA",false
238,ALPHA_238,"LOT",false
237,ALPHA_237,"AVAIL",false
236,ALPHA_236,"MAT",false
235,ALPHA_235,"BEE",false
233,ALPHA_233,"TAG",false
234,ALPHA_234,"Janitor",false
229,ALPHA_229,"VELO",false
227,ALPHA_227,"DEGEN",false
226,ALPHA_226,"ROAM",false
223,ALPHA_223,"IDOL",false
219,ALPHA_219,"SKATE",false
218,ALPHA_218,"OL",false
217,ALPHA_217,"AB",false
216,ALPHA_216,"FLY",false
215,ALPHA_215,"CUDIS",false
213,ALPHA_213,"POKT",false
62,ALPHA_62,"FLOCK",false
210,ALPHA_210,"BDXN",false
211,ALPHA_211,"ZRC",false
208,ALPHA_208,"EDGEN",false
207,ALPHA_207,"TAIKO",false
200,ALPHA_200,"OBT",false
198,ALPHA_198,"RWA",false
197,ALPHA_197,"B",false
194,ALPHA_194,"XTER",false
193,ALPHA_193,"REX",false
191,ALPHA_191,"AGT",false
190,ALPHA_190,"NS",false
185,ALPHA_185,"PRAI",false
187,ALPHA_187,"HIPPO",false
